candidate_id,rank,score,reasoning
CAND_0018499,1,0.99,"7.2y Senior Machine Learning Engineer. at Zomato. Noida, Uttar Pradesh. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Weaviate 72.... Caveat: none material — profile aligns on role, stack, and logistics."
CAND_0039754,2,0.982,"8.2y Senior Applied Scientist. at Meta. Indore, Madhya Pradesh. Shipped: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate so. Redrob assessment Fine-tuning LLMs 96.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0081846,3,0.974,"6.7y Lead AI Engineer. at Razorpay. Jaipur, Rajasthan. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Information Retrieval 65/100.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0086022,4,0.9661,"5.2y Senior Applied Scientist. at Sarvam AI. Kolkata, West Bengal. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Vector Search 93.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0002025,5,0.9581,"5.8y Senior AI Engineer. at Apple. Trivandrum, Kerala. Shipped: Built and shipped a production recommendation system at a marketplace product, going from offli. GitHub activity 97/100. saved by 22 recruiters.... Caveat: based in Trivandrum, Kerala — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0046064,6,0.9501,"8.9y Senior NLP Engineer. at Salesforce. Coimbatore, Tamil Nadu. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Python 64/100. Git.... Caveat: based in Coimbatore, Tamil Nadu — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0061257,7,0.9421,"8.0y Staff Machine Learning Engineer. at LinkedIn. Noida, Uttar Pradesh. Shipped: Designed the ranking layer for the company's flagship product: how do we surface the right thin. Redrob assessment PEFT 70/10.... Caveat: none material — profile aligns on role, stack, and logistics."
CAND_0077337,8,0.9341,"7.0y Staff Machine Learning Engineer. at Paytm. Kochi, Kerala. Shipped: Built and shipped a production recommendation system at a marketplace product, going from offli. Redrob assessment Semantic Search 63/1.... Caveat: 60-day notice — still in scope but bar is higher per JD."
CAND_0068351,9,0.9262,"6.3y Lead AI Engineer. at Sarvam AI. Delhi. Shipped: Owned the search and discovery experience end-to-end at a consumer product, from how content is. nan. saved by 66 recruiters (30d). recruiter response 86%.... Caveat: based in Delhi — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0037980,10,0.9182,"8.9y Senior Applied Scientist. at Niramai. Kolkata, West Bengal. Shipped: Designed the ranking layer for the company's flagship product: how do we surface the right thin. Redrob assessment LoRA 74/100. nan. .... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0080766,11,0.9102,"8.8y Staff Machine Learning Engineer. at Salesforce. Coimbatore, Tamil Nadu. Shipped: Owned the search and discovery experience end-to-end at a consumer product, from how content is. Redrob assessment Weavia.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0071974,12,0.9022,"7.8y Senior AI Engineer. at Netflix. Vizag, Andhra Pradesh. Shipped: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate so. Redrob assessment LoRA 87/100. GitHub act.... Caveat: 45-day notice — still in scope but bar is higher per JD."
CAND_0046525,13,0.8942,"6.1y Senior Machine Learning Engineer. at Genpact AI. Pune, Maharashtra. Shipped: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus o. Redrob assessment Elasticsea.... Caveat: 60-day notice — still in scope but bar is higher per JD."
CAND_0093547,14,0.8863,"6.2y Senior Machine Learning Engineer. at PhonePe. Coimbatore, Tamil Nadu. Shipped: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate so. Redrob assessment RAG 97/1.... Caveat: 60-day notice — still in scope but bar is higher per JD."
CAND_0006567,15,0.8783,"7.8y Senior AI Engineer. at Meta. Noida, Uttar Pradesh. Shipped: Owned the search and discovery experience end-to-end at a consumer product, from how content is. Redrob assessment Fine-tuning LLMs 89/100. na.... Caveat: 60-day notice — still in scope but bar is higher per JD."
CAND_0087630,16,0.8703,"7.2y AI Engineer. at Vedantu. Gurgaon, Haryana. Shipped: Built a content recommendation system serving 10M+ users that combined collaborative filtering . Redrob assessment Elasticsearch 66/100. nan. saved by.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0055905,17,0.8623,8.1y Senior Machine Learning Engineer. at Flipkart. London. Shipped: Owned the design and rollout of a large-scale semantic search system serving an internal corpus. Redrob assessment Elasticsearch 83/100. n.... Caveat: based in London — outside Pune/Noida; has not indicated willingness to relocate.
CAND_0052328,18,0.8543,"6.5y Recommendation Systems Engineer. at Amazon. Pune, Maharashtra. Shipped: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system.. Redrob assessment LoRA 85/100. Gi.... Caveat: none material — profile aligns on role, stack, and logistics."
CAND_0091909,19,0.8464,"6.8y Machine Learning Engineer. at Rephrase.ai. Bangalore, Karnataka. Shipped: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and . Redrob assessment LLMs 85/100. .... Caveat: 45-day notice — still in scope but bar is higher per JD."
CAND_0011687,20,0.8384,"7.8y Senior NLP Engineer. at Niramai. Indore, Madhya Pradesh. Shipped: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate so. GitHub activity 76/100. saved by 27 rec.... Caveat: based in Indore, Madhya Pradesh — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0060054,21,0.8304,"Shortlist: 6.3y AI Engineer with production ML evidence · career shows Developed a semantic search feature for an internal knowledge base of ~500K documents. ... · matches must-haves: Recommendation Systems, Semantic ..."
CAND_0041669,22,0.8224,"8.0-year Recommendation Systems Engineer with strong JD alignment; production track record: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: Semantic Search, Milvu..."
CAND_0042029,23,0.8144,"Fit: Senior Data Scientist (6.5 years); experience includes Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; matches must-haves: OpenSearch, RAG, Embeddings; validated RAG (7..."
CAND_0037000,24,0.8065,"Search Engineer; 6.2 years relevant experience · shipped: Trained and shipped multiple ranking models for our product's discovery feed using XGBo... · matches must-haves: FAISS, Pinecone, Hugging Face Transformers · a..."
CAND_0041610,25,0.7985,"Recommendation Systems Engineer profile aligns on experience (6.7y) and delivery; recent work: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; strong on Elasticsearch, OpenS..."
CAND_0033861,26,0.7905,"Senior NLP Engineer with 8.0 years experience; recent work: Owned the design and rollout of a large-scale semantic search system serving an interna...; strong on LLMs, Vector Search, Elasticsearch; platform assessment..."
CAND_0017960,27,0.7825,"Recommendation Systems Engineer — 7.7 years in product ML · experience includes Trained and shipped multiple ranking models for our product's discovery feed using XGBo... · JD skills: PEFT, Information Retrieval, QLoR..."
CAND_0030468,28,0.7745,"Fit: Senior Applied Scientist (5.3 years); shipped: Led the engineering team building infrastructure to surface relevant content to users a...; core stack OpenSearch, Milvus, Recommendation Systems; platform assessmen..."
CAND_0008425,29,0.7666,"7.8-year Senior NLP Engineer with strong JD alignment; production track record: Owned the design and rollout of a large-scale semantic search system serving an interna...; matches must-haves: Sentence Transformers, Qd..."
CAND_0050454,30,0.7586,"6.8-year AI Engineer with strong JD alignment · production track record: Developed a semantic search feature for an internal knowledge base of ~500K documents. ... · JD skills: QLoRA, Fine-tuning LLMs, LoRA · cert: AW..."
CAND_0088025,31,0.7506,"Shortlist: 8.6y Staff Machine Learning Engineer with production ML evidence; shipped: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: cand...; JD skills: QLoRA, LLMs, Elasticsearch; ..."
CAND_0045250,32,0.7426,"6.5-year Applied ML Engineer with strong JD alignment; production track record: Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; JD skills: Vector Search, Qdrant, PEFT; valid..."
CAND_0027691,33,0.7346,"Fit: NLP Engineer (6.4 years) · production track record: Developed a semantic search feature for an internal knowledge base of ~500K documents. ... · JD skills: Recommendation Systems, Weaviate, LoRA · platform assess..."
CAND_0033179,34,0.7267,"6.8-year AI Research Engineer with strong JD alignment; recent work: Built computer vision models for our product's image moderation feature using PyTorch —...; core stack Information Retrieval, Hugging Face Transform..."
CAND_0044855,35,0.7187,"Senior Data Scientist; 6.5 years relevant experience; career shows Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; strong on Information Retrieval, OpenSearch, Embeddings; a..."
CAND_0055992,36,0.7107,"6.8-year AI Engineer with strong JD alignment · career shows Developed a semantic search feature for an internal knowledge base of ~500K documents. ... · matches must-haves: FAISS, Milvus, Fine-tuning LLMs · assessed ..."
CAND_0049896,37,0.7027,"Search Engineer profile aligns on experience (7.2y) and delivery; production track record: Implemented a RAG-based customer support chatbot integrated with our existing ticketing...; strong on Information Retrieval, H..."
CAND_0057563,38,0.6947,"NLP Engineer profile aligns on experience (6.8y) and delivery; shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: OpenSearch, RAG, Elasticsearch; cert: Goog..."
CAND_0006557,39,0.6868,"Recommended: NLP Engineer (7.8y) — JD role + stack fit · recent work: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · JD skills: Vector Search, FAISS, Hugging Face Transfor..."
CAND_0083879,40,0.6788,"7.0-year Machine Learning Engineer with strong JD alignment; experience includes Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; strong on Fine-tuning LLMs, Sentence Transfo..."
CAND_0018549,41,0.6708,"Recommendation Systems Engineer — 6.8 years in product ML; production track record: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; matches must-haves: Milvus, Qdrant, Elast..."
CAND_0052682,42,0.6628,"NLP Engineer with 6.5 years experience · experience includes Built a content recommendation system serving 10M+ users that combined collaborative fi... · core stack Semantic Search, Python, QLoRA · cert: Google Cloud ..."
CAND_0091534,43,0.6548,"AI Engineer with 7.2 years experience; experience includes Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; strong on RAG, Sentence Transformers, Hugging Face Transformers; v..."
CAND_0079387,44,0.6469,"Strong match: AI Engineer, 6.8 years; production track record: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; matches must-haves: OpenSearch, LoRA, Vector Search; validated..."
CAND_0005260,45,0.6389,"Fit: Senior NLP Engineer (5.2 years) · production track record: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recru... · JD skills: Embeddings, Semantic Search, RAG · cert: nan · ti..."
CAND_0076251,46,0.6309,"Fit: Search Engineer (7.6 years); recent work: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; strong on PEFT, Hugging Face Transformers, LLMs; assessed strong on Weaviate (..."
CAND_0039521,47,0.6229,"Fit: Search Engineer (5.0 years); recent work: Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; core stack Weaviate, Hugging Face Transformers, Semantic Search; cert: nan; Ar..."
CAND_0068811,48,0.6149,"Shortlist: 8.0y Applied ML Engineer with production ML evidence · recent work: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · JD skills: Pinecone, Vector Search, Qdrant · ..."
CAND_0064326,49,0.607,"Search Engineer; 7.6 years relevant experience; experience includes Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: QLoRA, Python, Milvus; platform assessment Mil..."
CAND_0010257,50,0.599,"Senior Data Scientist with 6.5 years experience; experience includes Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; core stack Python, Milvus, Recommendation Systems; asses..."
CAND_0009024,51,0.591,"5.2-year Search Engineer with strong JD alignment · career shows Built a content recommendation system serving 10M+ users that combined collaborative fi... · JD skills: OpenSearch, Recommendation Systems, LoRA · platf..."
CAND_0007009,52,0.583,"Recommendation Systems Engineer — 7.8 years in product ML; production track record: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; JD skills: OpenSearch, Python, PEFT; cert..."
CAND_0011162,53,0.5751,"Recommendation Systems Engineer profile aligns on experience (5.8y) and delivery; shipped: Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; matches must-haves: FAISS, OpenSea..."
CAND_0006418,54,0.5671,"Machine Learning Engineer profile aligns on experience (5.7y) and delivery · production track record: Trained and shipped multiple ranking models for our product's discovery feed using XGBo... · core stack Weaviate, E..."
CAND_0066999,55,0.5591,"Fit: Recommendation Systems Engineer (5.8 years); shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: LLMs, FAISS, OpenSearch; assessed strong on Pinecone (9..."
CAND_0078492,56,0.5511,"Recommendation Systems Engineer — 5.1 years in product ML; career shows Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; matches must-haves: Hugging Face Transformers, Qdrant..."
CAND_0020350,57,0.5431,"Fit: AI Engineer (5.8 years) · recent work: Built and operated production ML pipelines using MLflow for experiment tracking, Kubefl... · core stack LLMs, PEFT, LoRA · cert: LangChain for LLM Application Development · ..."
CAND_0030031,58,0.5352,"AI Engineer with 5.7 years experience; experience includes Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; core stack LoRA, Vector Search, QLoRA; cert: nan; education: tier-..."
CAND_0040117,59,0.5272,"Shortlist: 6.5y Recommendation Systems Engineer with production ML evidence; recent work: Built a content recommendation system serving 10M+ users that combined collaborative fi...; matches must-haves: RAG, FAISS, QLo..."
CAND_0032216,60,0.5192,"ML Engineer with 6.0 years experience · shipped: Built computer vision models for our product's image moderation feature using PyTorch —... · matches must-haves: QLoRA, Sentence Transformers, Information Retrieval · c..."
CAND_0075574,61,0.5112,"Recommended: Machine Learning Engineer (5.7y) — JD role + stack fit; shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; strong on OpenSearch, Elasticsearch, Weaviate; ..."
CAND_0000031,62,0.5032,"5.9-year Recommendation Systems Engineer with strong JD alignment; career shows Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; matches must-haves: Pinecone, Information Ret..."
CAND_0049538,63,0.4953,"Applied ML Engineer with 5.8 years experience · recent work: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · matches must-haves: Elasticsearch, Milvus, OpenSearch · cert: n..."
CAND_0093912,64,0.4873,"Senior Data Scientist; 5.2 years relevant experience; production track record: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: Vector Search, Elasticsearch, Milvu..."
CAND_0039383,65,0.4793,"Applied ML Engineer profile aligns on experience (7.0y) and delivery; career shows Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; core stack QLoRA, FAISS, Hugging Face Tran..."
CAND_0062247,66,0.4713,"Strong match: AI Engineer, 7.2 years · recent work: Developed a semantic search feature for an internal knowledge base of ~500K documents. ... · strong on Qdrant, Hugging Face Transformers, Vector Search · cert: nan ·..."
CAND_0093193,67,0.4633,"Senior Machine Learning Engineer with 7.8 years experience; recent work: Built systems that understand what users are looking for and connect them to the most r...; matches must-haves: OpenSearch, Ranking Systems, Inf..."
CAND_0081053,68,0.4554,"Fit: NLP Engineer (5.3 years); experience includes Built and operated production ML pipelines using MLflow for experiment tracking, Kubefl...; core stack Semantic Search, Weaviate, LoRA; platform assessment QLoRA 89/1..."
CAND_0077285,69,0.4474,Recommended: Recommendation Systems Engineer (5.5y) — JD role + stack fit · production track record: Trained and shipped multiple ranking models for our product's discovery feed using XGBo... · JD skills: Fine-tuning ...
CAND_0043860,70,0.4394,"Junior ML Engineer profile aligns on experience (6.1y) and delivery; career shows Built computer vision models for our product's image moderation feature using PyTorch —...; strong on Semantic Search, Information Retr..."
CAND_0042100,71,0.4314,"Strong match: Machine Learning Engineer, 7.2 years; production track record: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: Recommendation Systems, QLoRA, Fine-t..."
CAND_0058688,72,0.4234,"Recommended: AI Engineer (6.7y) — JD role + stack fit · recent work: Built and operated production ML pipelines using MLflow for experiment tracking, Kubefl... · strong on Milvus, Embeddings, Information Retrieval · c..."
CAND_0020877,73,0.4155,"Applied ML Engineer; 5.0 years relevant experience; recent work: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; strong on Information Retrieval, QLoRA, Weaviate; cert: nan;..."
CAND_0098846,74,0.4075,"AI Engineer profile aligns on experience (7.5y) and delivery; shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; core stack Qdrant, Recommendation Systems, QLoRA; cert..."
CAND_0036184,75,0.3995,"Recommendation Systems Engineer; 6.0 years relevant experience · recent work: Developed a semantic search feature for an internal knowledge base of ~500K documents. ... · strong on Sentence Transformers, Embeddings, F..."
CAND_0099401,76,0.3915,"Shortlist: 7.6y NLP Engineer with production ML evidence; shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; strong on Semantic Search, Qdrant, Embeddings; cert: LangC..."
CAND_0081852,77,0.3835,"Senior Data Scientist with 5.8 years experience; career shows Implemented a RAG-based customer support chatbot integrated with our existing ticketing...; strong on LoRA, Vector Search, Milvus; cert: LangChain for LLM ..."
CAND_0042506,78,0.3756,"Search Engineer — 4.2 years in product ML · experience includes Implemented a RAG-based customer support chatbot integrated with our existing ticketing... · strong on Information Retrieval, FAISS, PEFT · cert: LangCha..."
CAND_0065878,79,0.3676,"Senior Data Scientist — 7.8 years in product ML; production track record: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; strong on QLoRA, Recommendation Systems, RAG; cert:..."
CAND_0081686,80,0.3596,"Search Engineer profile aligns on experience (6.0y) and delivery; shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; core stack Milvus, Python, QLoRA; platform assessm..."
CAND_0072660,81,0.3516,"7.0-year Machine Learning Engineer with strong JD alignment · recent work: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · JD skills: LoRA, Information Retrieval, Python · ..."
CAND_0043228,82,0.3436,"Applied ML Engineer with 6.8 years experience; career shows Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; core stack Hugging Face Transformers, Sentence Transformers, Open..."
CAND_0005538,83,0.3357,"Senior AI Engineer — 5.8 years in product ML; shipped: Built and shipped a production recommendation system at a marketplace product, going fr...; matches must-haves: QLoRA, Information Retrieval Systems, Python; asse..."
CAND_0010685,84,0.3277,"NLP Engineer — 6.7 years in product ML · shipped: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · JD skills: Elasticsearch, RAG, Information Retrieval · cert: Google Cloud ..."
CAND_0053695,85,0.3197,"Recommendation Systems Engineer — 5.8 years in product ML; production track record: Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; strong on Pinecone, Embeddings, Recommend..."
CAND_0024620,86,0.3117,"AI Engineer profile aligns on experience (5.8y) and delivery; experience includes Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; JD skills: QLoRA, PEFT, Python; cert: LangC..."
CAND_0047721,87,0.3037,"Shortlist: 7.0y Senior Data Scientist with production ML evidence · production track record: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · matches must-haves: Qdrant, Inf..."
CAND_0028793,88,0.2958,"Shortlist: 7.2y Search Engineer with production ML evidence; recent work: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; core stack LoRA, Embeddings, QLoRA; validated Embed..."
CAND_0093331,89,0.2878,"Shortlist: 7.2y NLP Engineer with production ML evidence; production track record: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; matches must-haves: PEFT, Embeddings, Milv..."
CAND_0095619,90,0.2798,"4.2-year NLP Engineer with strong JD alignment · experience includes Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned... · JD skills: Pinecone, Weaviate, Information Retrieval · ..."
CAND_0009691,91,0.2718,"Recommended: Applied ML Engineer (6.2y) — JD role + stack fit; career shows Built a content recommendation system serving 10M+ users that combined collaborative fi...; matches must-haves: LoRA, Fine-tuning LLMs, Qdran..."
CAND_0036437,92,0.2638,"Search Engineer; 4.8 years relevant experience; experience includes Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned...; strong on Sentence Transformers, Elasticsearch, Weaviate;..."
CAND_0095528,93,0.2559,"Senior Data Scientist — 5.2 years in product ML · recent work: Built a content recommendation system serving 10M+ users that combined collaborative fi... · JD skills: Elasticsearch, Semantic Search, RAG · assessed str..."
CAND_0015528,94,0.2479,"Applied ML Engineer; 7.3 years relevant experience; experience includes Built a content recommendation system serving 10M+ users that combined collaborative fi...; strong on FAISS, OpenSearch, LoRA; cert: nan; educati..."
CAND_0066376,95,0.2399,"Strong match: Applied ML Engineer, 5.7 years; production track record: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; core stack Semantic Search, FAISS, LLMs; assessed stro..."
CAND_0099806,96,0.2319,"AI Engineer with 4.5 years experience · production track record: Trained and shipped multiple ranking models for our product's discovery feed using XGBo... · JD skills: Embeddings, Qdrant, FAISS · cert: LangChain for ..."
CAND_0037944,97,0.2239,"Senior Data Scientist; 4.8 years relevant experience; shipped: Trained and shipped multiple ranking models for our product's discovery feed using XGBo...; matches must-haves: Python, OpenSearch, Embeddings; validated ..."
CAND_0048558,98,0.216,"Data Scientist with 6.7 years experience; production track record: Contributed to ML feature engineering and model deployment for a fraud-detection produc...; JD skills: Qdrant, OpenSearch, Information Retrieval; cert..."
CAND_0004402,99,0.208,"AI Research Engineer profile aligns on experience (6.0y) and delivery · shipped: Built computer vision models for our product's image moderation feature using PyTorch —... · strong on OpenSearch, PEFT, Sentence Transf..."
CAND_0069905,100,0.2,"6.5-year Applied ML Engineer with strong JD alignment; shipped: Developed a semantic search feature for an internal knowledge base of ~500K documents. ...; core stack Weaviate, Recommendation Systems, Sentence Transfo..."
